ticker,return_12m,return_6m,volatility_6m,volume_change_1m,total_liabilities_to_total_assets,interest_coverage,net_income_to_total_assets,current_ratio,distress_label
AAPL,0.17303438602109744,0.051507002924114476,0.013999636209605546,0.013135223794195294,0.7674909108165896,,0.11098690472110247,0.9737446648641658,0
AMC,-0.6611295733693575,-0.6482758802125904,0.03384300926118416,-0.5148303922412556,1.236324178702387,0.10759493670886076,-0.015889645538676445,0.41217626812616376,1
BBBY,-0.13780914381611276,-0.5025484295920559,0.044319415128975866,-0.19334625072660339,0.4877667000408952,,-0.04906246621446937,1.2496487046308535,1
BYND,-0.8011363659454279,-0.741697425009,0.20110108709792673,0.48144394118942,2.307496302126673,-24.052286102308738,-0.18458182764158226,4.535338298607837,1
CMLS,-0.9888913578397455,-0.9629629652625248,0.14997345027390832,-0.5870498843739675,1.052789002584823,-0.15318648057844292,-0.018926616812756616,1.742267364371114,1
HD,-0.04189159876992887,-0.20442009622602042,0.014396781496004079,0.1885693690069068,0.8859928110356249,,,1.0508627462391247,0
JNJ,0.49773443133672735,0.36039862287299673,0.010064453229054294,-0.17849281031280362,0.5906631193213192,24.205607476635514,0.02568144169469404,1.027676163027011,0
KO,0.11483548699389945,0.16288703136541605,0.010510446693352823,-0.3921872565915767,0.6729983971912685,7.872389791183295,0.021666539459624486,1.4587660354306657,0
MCD,0.06271698156620964,0.053114063187407634,0.010312467371850192,-0.4119591457753018,1.0356883579725449,,,1.0,0
MSFT,0.015666027486690437,-0.22713499392094993,0.016279300377641654,0.11026542194510713,0.4124848565012581,66.55163043478261,0.05780532750540356,1.3860236144763662,0
PG,-0.11206324133741474,-0.058621611354361725,0.012125328071945886,-0.5191929639816271,0.5811243970271671,25.64090909090909,0.03393146143330767,0.7244884056786288,0
PLUG,0.3647058048050318,0.38095238433132916,0.07263951357707872,0.1046223199473546,0.6133020988465132,-41.57249788155541,-0.32605427955636546,2.3096883659685417,1
PTON,-0.38543245873151766,-0.4899244129032615,0.04039523110964755,-0.14840885587619035,1.1509285780282732,-0.23809523809523808,-0.017924789799501063,1.9829255861365953,1
SEAT,-0.8813432777132426,-0.627198104770686,0.052973223256408075,-0.32705532421177874,0.696951987296334,-3.736377025036819,-0.007701326550336831,0.6717362586870369,1
SPCE,-0.25648417797294054,-0.21341465054559694,0.04523578149999275,-0.2667841280972417,0.7353419804274652,-18.820615384615383,-0.07547012862855182,2.868428617853661,1
V,-0.09951310984304063,-0.11704823759952288,0.013707198482397327,0.01284606381928688,0.5994690850496829,35.670103092783506,0.0604561323775487,1.1113333968435426,0
WKHS,-0.8706896544974277,-0.765624985586674,0.06206478515995927,0.7041650294695481,0.7252739471453071,-45.6199072116444,-0.06705685886321336,1.207387876341049,1
WMT,0.40804493791076557,0.18186672126990988,0.015178296369935153,-0.4606234068795395,0.6270040889738221,9.42031029619182,0.014884005227141794,0.7897533242144247,0
