ticker,distress_label,prob_lr,prob_rf,prob_gb,prob_ensemble,risk_tier
AMC,1,0.8374,1.0,1.0,0.9458,Critical
BYND,1,0.9997,1.0,1.0,0.9999,Critical
WKHS,1,0.9822,1.0,1.0,0.9941,Critical
CMLS,1,0.994,1.0,1.0,0.998,Critical
PTON,1,0.8112,1.0,1.0,0.9371,Critical
SEAT,1,0.8998,1.0,1.0,0.9666,Critical
SPCE,1,0.8865,0.98,1.0,0.9555,Critical
BBBY,1,0.7196,0.9,1.0,0.8732,Critical
PLUG,1,0.9011,0.86,1.0,0.9204,Critical
HD,0,0.2989,0.12,0.0,0.1397,Low
AAPL,0,0.055,0.04,0.0,0.0317,Low
JNJ,0,0.0176,0.04,0.0,0.0192,Low
MCD,0,0.1982,0.04,0.0,0.0794,Low
MSFT,0,0.0414,0.02,0.0,0.0205,Low
V,0,0.0774,0.02,0.0,0.0325,Low
PG,0,0.1149,0.02,0.0,0.045,Low
KO,0,0.1102,0.0,0.0,0.0368,Low
WMT,0,0.0545,0.0,0.0,0.0182,Low
